FRName,BugURL,IssueTitle,Type,Status,Priority,Resolution,Affects Version/s,Fix Version/s,Component/s,Description
CXF-2538,"https://issues.apache.org/jira/browse/CXF-2538
",Proposal : enhancement of PhaseInterceptorChain warning message,Improvement,CLOSED,Major,Fixed,2.3,"2.1.9, 2.2.6",Core,"PhaseInterceptorChain outputs a warning message in the logs when an unchecked application exception or a RuntimeException is throwned.
Unfortunately, this message doesn't tell which operation on which service is involved. If the stack traces are not emitted in the logs, it can be impossible to associate the error message with a web service.
Here is a proposal of enhancement of the warning message : add service name and operation name to the message.
Current warning message for a RuntimeException
======================================
Application has thrown exception, unwinding now
org.apache.cxf.interceptor.Fault: the runtime exception
at org.apache.cxf.service.invoker.AbstractInvoker.createFault(AbstractInvoker.java:155)
...
at java.lang.Thread.run(Thread.java:637)
Caused by: java.lang.RuntimeException: the runtime exception
... 72 more
Enhanced warning message for a RuntimeException
========================================
Application
{http://www.example.com/}
helloWorldService#
{http://www.example.com/}
sayHi has thrown exception, unwinding now
org.apache.cxf.interceptor.Fault: the runtime exception
at org.apache.cxf.service.invoker.AbstractInvoker.createFault(AbstractInvoker.java:155)
...
at java.lang.Thread.run(Thread.java:637)
Caused by: java.lang.RuntimeException: the runtime exception
... 72 more"
CXF-1459,"https://issues.apache.org/jira/browse/CXF-1459
",ClassCastException occurs on HTTPS web service call made by app deployed to BEA WebLogic 9.2,Improvement,CLOSED,Major,Fixed,2.0.4,"2.1.8, 2.2.5",Integration,"HTTPS web service call fails from webapp deployed in ear file to BEA 9.2 with following error:
java.lang.ClassCastException: weblogic.net.http.SOAPHttpsURLConnection
at org.apache.cxf.transport.https.HttpsURLConnectionFactory.createConnection(HttpsURLConnectionFactory.java:120)
My weblogic-application.xml contains:
<prefer-application-packages>
<package-name>javax.jws.*</package-name>
</prefer-application-packages>
The secure web service call works in Tomcat 5.5."
CXF-2410,"https://issues.apache.org/jira/browse/CXF-2410
",Boolean getter plugin for xjc,Improvement,CLOSED,Major,Fixed,2.3,2.2.4,Tooling,"Please find a patch that contains an XJC plugin to generate Boolean getters instead of accessors called isXXX().
This allow the generated beans to be used by various mapping tools, including dozer."
CXF-2375,"https://issues.apache.org/jira/browse/CXF-2375
","CXF treats synthetic methods as web methods. In the strict sense, this is not against the JAX-WS spec, but it causes issues with AspectJ instrumented classes.",Improvement,CLOSED,Major,Fixed,None,"2.1.7, 2.2.4",JAX-WS Runtime,"AOP implementations and other frameworks that use bytecode modification may generate synthetic methods on the SEI that cannot be controlled or customized by the user (for example, AspecJ generates getters/setters for generated members, and these methods cannot be removed). These methods will show up as operations on the SEI, which is usually not the desired behaviour. We locally patched CXF to avoid this, please see the attached patch that worked for us."
CXF-2372,"https://issues.apache.org/jira/browse/CXF-2372
",Allow JMS XAResource to participate in J2EE transaction,Improvement,CLOSED,Major,Fixed,2.2.2,"2.1.7, 2.2.4",Integration,"The submitted patch provides the capability for a JMS XAResource to participate in the J2EE transaction when used in the context of the JCA adapater. Using transaction APIs defined by the JCA adapater spec, the JMS transport will register an XAResource associated with a JMSSession with the JCA connector, which will in turn enroll the XAResource in a transaction with the J2EE transaction manager. In order to facilitate the registering of the XAResoure, the JCA adapter must pass information via the Bus to the JMS transport. The JMS transport is then responsible for creating a MessageEndpoint and initiating a transaction by calling MessageEndpoint.beforeDelivery() and then closing the transaction by calling MessageEndpoint.afterDelivery()
See section 12.5.6 of the JCA specification for more details regarding these semantics."
CXF-2342,"https://issues.apache.org/jira/browse/CXF-2342
",Performance issue in StaxInInterceptor,Improvement,CLOSED,Major,Fixed,2.2.2,"2.1.6, 2.2.3",None,"From this mailing list thread Performance issue in StaxInInterceptor:
In cxf-2.2.2, StaxInInterceptor#handleMessage() synchronizes on the XMLInputFactory before calling XMLInputFactory#createXMLStreamReader(InputStream, String).
Profiling our application reveals this to be a pain point in high volume situations"
CXF-2366,"https://issues.apache.org/jira/browse/CXF-2366
",Allow for 1-way over JMS requests to set replyTo destination in JMS message when explicitly enabled,Improvement,CLOSED,Major,Fixed,"2.2, 2.1.5","2.0.12, 2.1.6, 2.2.3",Transports,"Some of the users of cxf requested that it should be possible to have one-way calls over JMS set JMS Message replyTo field with WSDL or invocation context provided destination.
If a user has a named replyToDestination set in WSDL or spring Config for a given WSDL port and then using a proxy associated with that port client makes a one way call, the JMS Message's replyTo filed will be set with the replyToDestination from Spring config or WSDL in that order of priority respectfully.
This will only be the case once the user specifically enables this behaviour by setting jms:clientConfig@enforseSpec = false. By default CXF applications will function as before this change.
The user can still specifically disable this behaviour on per request basis even when by default it is desirable to set and propagate replyTo for one-way calls by putting a property in the invocation conext JMSConstants.JMS_SET_REPLY_TO = false;"
CXF-2343,"https://issues.apache.org/jira/browse/CXF-2343
",Improve Message Performance Under High Volume with Low Latency Consumers,Improvement,CLOSED,Major,Fixed,None,"2.0.12, 2.1.6, 2.2.3",Transports,"IT organizations are on constant pressures in improving enterprise messaging systems to deliver and process high volume message traffic. For example financial IT organizations are continually automate, integrate and optimized the transaction life cycle. The underlying messaging system must be able to support extremely low latency and very high message throughput with effective congestion control.
Message performance testing was performed to evaluate the CXF bogus message selector implementation as the best approach in improving message throttling in a long consumer service process with a very high JMS message traffic volume.
The intent of the bogus message selector implementation in CXF is to alleviate message throttling by delegating incoming messages to under performed consumer services. Testing was performed on the CXF bogus message selector implementation with a commercial JMS message broker. The test scenario simulated an ingest driver that produced high volume message traffic with a long running CXF consumer service which forced a backlog of messages in the request queue. The test results illustrated a dramatic degradation in the commercial JMS message broker processing performance from 12,000 messages per second to 100 messages per second (99.17% degradation of performance). Also it was observed the JMS receiveTimeout parameter was set to the default value of 1 which contributed to the degradation of performance. CXF was modified to expose the JMS receiveTimeout parameter as a CXF feature. The test scenario was rerun with a receiveTimeout set to 30 seconds which improved message processing from 100 messages per second to 4,918 messages per second.
To further improve ingest message processing performance; the bogus message selector implementation was replaced with a stop and start Spring JMS Listener Container (DefaultMessageListenerContainer) implementation via the CXF JMSContinuation class. The JMSContintuation class starts and stops the Spring Container based on the maximum suspended continuations parameter. The moment a stop is issued from the JMSContinuation class to the Container, no new messages are allowed to be accepted by the Container until the Container completes processing the suspended messages. To avoid message loss while the Container is in the stop state, CXF features must support the JMS acceptMessagesWhileStopping parameter. This parameter must be set to true to notify the Container not to reject messages while in the stop state. The test scenario was rerun using the CXF start/stop Container implementation with a commercial JMS message broker. The test results demonstrated that message processing performance improved from 4,918 messages per second to 8,333 messages per second.
Based on the test results, I concluded that the start/stop Container implementation is the recommended solution for improving message performance in high JMS message traffic with low latency consumers. The start/stop Container implementation improved message processing performance over the bogus message selector implementation by 28%.
See attachment for patch."
CXF-2316,"https://issues.apache.org/jira/browse/CXF-2316
",Allow JMS replyTo destination value be set on the outgoing messsage for a one-way call,Improvement,CLOSED,Major,Fixed,2.1.5,"2.0.12, 2.1.6, 2.2.3",Transports,There are use cases where the JAXWS user might want to have 2 independent JAXWS proxies doing one ways and correlating them in the application code. For this to work JMS transport should allow the user to set a replyTo destination on a call with one way signature by way of request invocation context
CXF-2307,"https://issues.apache.org/jira/browse/CXF-2307
",PhaseInterceptorChain should log errors above INFO,Improvement,CLOSED,Major,Fixed,2.2.2,"2.1.6, 2.2.3",Core,"Currently, if there is an uncaught exception either in an Interceptor or the application, the PhaseInterceptorChain logs this exception at the INFO level.
It would be more useful to log events at the WARNING or SEVERE level."
CXF-2264,"https://issues.apache.org/jira/browse/CXF-2264
",WSDL extension for WSDL usage,Sub-task,CLOSED,Major,Fixed,None,2.2.3,None,Make the WSDL definition conformance with the SOAP/JMS specification.
CXF-2186,"https://issues.apache.org/jira/browse/CXF-2186
",Validate WSS headers using new checkReceiverResultsAnyOrder method in WSHandler.,Improvement,CLOSED,Major,Fixed,2.1.3,"2.0.12, 2.1.6, 2.2.3",WS-* Components,"Change the method used to validate WSS headers such that the order of the headers is unimportant. The current method used to validate WSS headers requires the headers be sent in a specific order; also the current method is counter-intuitive as it reverses the headers before checking them.
See https://issues.apache.org/jira/browse/WSS-147 for more info."
CXF-2002,"https://issues.apache.org/jira/browse/CXF-2002
",Server async jms transport needs dynamic mechanism to throttle message consumption,Improvement,CLOSED,Major,Fixed,"2.0.9, 2.1.3, 2.0.10","2.1.6, 2.2.3",Transports,"Currently, the server-side async jms transport has no mechanism to throttle consumption of incoming messages. This becomes problematic in scenarios where a large backlog of messages exists on the input queue. In this case, it is likely that the cxf server will overload its internal work item queues resulting in problems. A dynamic throttling mechanism on the async jms server is required to avoid this problem."
CXF-2181,"https://issues.apache.org/jira/browse/CXF-2181
",Dynamic Dispatch classes should cache MessageFactory instances,Improvement,CLOSED,Major,Fixed,2.2,"2.0.11, 2.1.5, 2.2.1",JAX-WS Runtime,"From this mailing list thread: http://www.nabble.com/Caching-MessageFactory-instances-tt23148305.html
MessageFactory#newInstance is an expensive operation. It is currently called twice in a normal request/response cycle when using dynamic dispatch."
CXF-2153,"https://issues.apache.org/jira/browse/CXF-2153
",Support nested parameter injection into beans,Improvement,CLOSED,Major,Fixed,2.2.1,2.2.1,JAX-RS,"The current CXF extension for handling parameter injection into beans does not handle the case where you want to set values on beans that are within other beans. Take the following simple example:
class Name
{
String first;
String last;
}
class Address
{
String city;
String state;
}
class Person
{
Name legalName;
Address homeAddr;
String race;
String sex;
Date birthDate;
}
class MyService
{
@GET
@Path(""/getPerson"")
Person getPerson(@QueryParam("""") Person person);
}
I would like to be able to pass something like:
/getPerson?sex=M&legalName.first=John&legalName.last=Doe&homeAddr.city=Reno&homeAddr.state=NV
I will attach a patch that contains modifications to the InjectionUtils class to support this behavior. In addition, the patch contains some unit test modifications the ensure more complex recursions of nested beans are taken care of. Note that no JAXRS* systests were harmed in the making of this patch, they all passed successfully.
The only notation change to the parameter format is the addition of the '.' to the name, which is the trigger that tells the code to assume a nested bean. Since this change is isolated to the injection processing logic, the capability works for Query, Form, Matrix, and Path parameter types. With that said, my functional testing has focused on query parameters, although I did change the unit tests for all for types to exercise the new capability.
When dealing with nested beans and lists things get a bit more complicated. Since the code doesn't introduce an indexing notation, there are a few rules that the consumer needs to be aware of. First, you can't inject list items into nested beans that are contained within a list themselves. Take the following bean class as an example:
class RecursiveBean
{
String s;
Integer i;
List<String> sList;
List<RecursiveBean> bList;
}
The following would be fine:
/getBean?s=top&sList=toplist1&sList=toplist2&bList.s=nested&bList.s=nested
You would end up with 1 top level bean with s='top' containing a sList with 2 items, and a bList with 2 nested beans both with s='nested'. The following case however won't work:
/getBean?s=top&sList=toplist1&sList=toplist2&bList.s=nested&bList.s=nested&bList.sList=nestedList1&bList.sList=nestedList2
The main reason it won't work is that you don't know where to inject 'nestedList1' and 'nestedList2', do they both go to the first, or should they be split up between the 2 nested beans. As such, if a nested list of this type is encountered, the values are simply not injected at all.
The second nuance to be aware of is that nested beans contained within a list must have their parameters set in the correct order, and not sparsely populated. Using the class defined in the previous example consider the following query:
/getBean?bList.s=nested1&bList.i=1&bList.s=nested2&bList.i=2
This is a valid query that creates 2 nested beans within bList, the first with s=nested1, i=1, and the second with s=nested2, i=2. Now imagine you wanted 2 nested beans with 'i' set the same as above, but the first not having 's' set at all. If you tried:
/getBean?bList.i=1&bList.s=nested2&bList.i=2
You would end up with the first bean having s=nested2 instead of being blank
I don't think the limitations that I mention represent common everyday use cases, however its worth pointing them out so folks don't hit them unexpectedly.
I hope you will consider folding this patch into the product with the next 2.2.x release, I think it will prove to be a powerful addition to the existing CXF extension."
CXF-2141,"https://issues.apache.org/jira/browse/CXF-2141
",Expose faults count in ResponseTimeCounter in addition to existing invocations count,Improvement,CLOSED,Major,Fixed,"2.1.4, 2.2","2.0.11, 2.1.5, 2.2.1",Core,"Expose faults count in ResponseTimeCounter in addition to existing invocations count. Faults can be split by FaultMode (RUNTIME_FAULT, LOGICAL_RUNTIME_FAULT, CHECKED_APPLICATION_FAULT, UNCHECKED_APPLICATION_FAULT) to improve accuracy.
Monitoring evolution of the faults with the granularity of the type of fault (runtime fault, checked application fault, unchecked application fault) is key to our operations team. If the application's SOAP runtime does not expose such indicators, ours operations team looks at log files parsing or ""SOA Appliances"" like Data Power."
CXF-2140,"https://issues.apache.org/jira/browse/CXF-2140
",Allow injection of an existing MBeanServer into the InstrumentationManagerImpl,Improvement,CLOSED,Major,Fixed,"2.1.4, 2.2","2.0.11, 2.1.5, 2.2.1",Core,Allow to inject an existing MBeanServer into the InstrumentationManagerImpl in addition to the existing MBeanServer lookup mechanism.
CXF-2042,"https://issues.apache.org/jira/browse/CXF-2042
",Expose totalHandlingTime attribute in ResponseTimeCounterMBean to offer trendsup monitoring,Improvement,CLOSED,Major,Fixed,2.1.4,"2.0.11, 2.1.5",Core,"Expose the currently internal attribute ResponseTimeCounter#totalHandlingTime in the ResponseTimeCounterMBean to offer trendsup monitoring.
Thanks to this, monitoring tools like Hyperic HQ will be able to offer metrics per time unit like ""average response time for last minute/hour"" ( via a division of totalHandlingTime by InvocationsCount)
Resources on Hyperic HQ's trendsup metrics monitoring : http://support.hyperic.com/display/DOC/Metric+Parameters"
CXF-1897,"https://issues.apache.org/jira/browse/CXF-1897
",Prepare the RFC 126 ListenerHook implementation for contribution to Felix,Improvement,CLOSED,Major,Fixed,2.2,2.2,OSGi,"To this extent, the test coverage needs to be increased and CXF-1896 needs to be done."
CXF-1866,"https://issues.apache.org/jira/browse/CXF-1866
",Produce a single-bundle distribution of the DOSGi code,Improvement,CLOSED,Major,Fixed,2.2,2.2,None,"Besides being a convenience for developers, this is also a requirement for the OSGi TCK."
CXF-1854,"https://issues.apache.org/jira/browse/CXF-1854
",Create a multi-bundle distribution of DOSGi - DSW,Improvement,CLOSED,Major,Fixed,2.2,2.2,OSGi,The attached patch contains the beginning of a distribution. The distribution is created as part of the maven build in the distribution/multi-bundle/target directory
CXF-1851,"https://issues.apache.org/jira/browse/CXF-1851
",The location and cardinality of the remote-services.xml files,Improvement,CLOSED,Major,Fixed,2.2,2.2,OSGi,"remote-services.xml file should allowed to have any name (as long as it ends with .xml) and they should by default be picked up from OSGI-INF/remote-services.
It should be possible to override the default with a bundle header."
CXF-1811,"https://issues.apache.org/jira/browse/CXF-1811
",Need to split up osgi.remote.publish.intent and osg.intents,Improvement,CLOSED,Major,Fixed,2.2,2.2,OSGi,"The intents property needs to be split up into the following:
On the client side proxy we just need to have osgi.intent
On the server side we have osgi.remote.publish.intent and osgi.intents"
CXF-1836,"https://issues.apache.org/jira/browse/CXF-1836
",Need to provide a proper implementation for the DistributionProvider interface,Improvement,CLOSED,Major,Fixed,2.2,2.2,OSGi,"This interface is outlined in the RFC 119 spec.
The current Dosgi implementation provides empty values for all the APIs in there - this needs to be fixed."
CXF-1799,"https://issues.apache.org/jira/browse/CXF-1799
",DOSGi configuration properties need to follow prescribed naming pattern,Improvement,CLOSED,Major,Fixed,2.2,2.2,OSGi,"The configuration properties for DOSGi need to follow the following pattern:
org.osgi.remote.configuration.type=xyz
org.osgi.remote.configuration.xyz.prop1=value1
org.osgi.remote.configuration.xyz.prop2=value2"
CXF-1416,"https://issues.apache.org/jira/browse/CXF-1416
",Enhancement to JAX-RS spring configuration.,Sub-task,CLOSED,Major,Fixed,2.1,2.1,JAX-RS,"JAX-RS allows multiple root resources, for example, using JAXRSServerFactoryBean.setResourceClasses(Class... classes) . But the corresponding Spring configuration only allows setting one root resource class, eg:
<jaxrs:server id=""bookservice"" address=""/"">
<jaxrs:serviceBeans>
<ref bean=""bookstore""/>
</jaxrs:serviceBeans>
</jaxrs:server>
<bean id=""bookstore"" scope=""prototype"" class=""org.apache.cxf.systest.jaxrs.BookStore"">
</bean>"
CXF-2023,"https://issues.apache.org/jira/browse/CXF-2023
",JAXRSServerFactoryBean to support setInvoker() method,Improvement,CLOSED,Major,Fixed,None,2.1.4,None,JAXRSServerFactoryBean to support setInvoker() method so that custom invoker can be set.
CXF-1922,"https://issues.apache.org/jira/browse/CXF-1922
",Improve DynamicClientFactory: make compileJavaSrc() non static and protected,Improvement,CLOSED,Major,Fixed,None,"2.0.10, 2.1.4",JAXB Databinding,"It would be great to be able to override the compileJavaSrc()-method in order to define a custom compiler, such as the eclipse compiler. This would remove the dependency of the jdk and the DynamcClientFactory could be used on any client-machine.
In order to do so it would be necessary to change the mehtod signature: remove the static-property (no need for) and make set visibilty to protected. A solution is attached in the patch.
Regards."
CXF-1964,"https://issues.apache.org/jira/browse/CXF-1964
",Add ability to inject WSS4J Processor objects into the WSS4JInInterceptor,Improvement,CLOSED,Major,Fixed,"2.0.9, 2.1.3","2.0.10, 2.1.4",WS-* Components,"I updated WSS4J recently to support passing Processor objects through to WSSConfig, whereas before only the class name was passed through, and WSSConfig took care of the classloading. Attached is a patch that updates CXF so that it's possible to supply Processor objects to the WSS4JInInterceptor, as well as a test-case for this. This patch requires the latest (as of today) WSS4J 1.5.5-SNAPSHOT, so it should be applied to trunk only."
CXF-1825,"https://issues.apache.org/jira/browse/CXF-1825
",Allow request/response contexts access when using JCA outbound connector,Improvement,CLOSED,Major,Fixed,None,"2.0.9, 2.1.3",Integration,"Currently, CXF inbound connector dynamic proxy does not expose javax.xml.ws.BindingProvider interface so client code can't do the following to access request/response contexts.
Greeter greeter = null;
greeter = (Greeter)getServiceConnection(); //retrieve proxy (here using JCA connector)
Map<String, Object> requestContext = ((BindingProvider)greeter).getRequestContext();"
CXF-1806,"https://issues.apache.org/jira/browse/CXF-1806
",Use Spring JMSTemplate in JMSConduit instead of direct JMS,Improvement,CLOSED,Major,Fixed,"2.0.8, 2.1.2","2.0.9, 2.1.3",Transports,"Using the Spring JMSTemplate has many advantages compared to directly using the JMS API. For example cxf services can participate in Transactions.
The goal for this issue is to replace JMS API in JMSConduit with JMSTemplate calls. Additionally the JMSConduit should be made more dependency injection friendly. It should not retrieve configuration from the Spring config."
CXF-1801,"https://issues.apache.org/jira/browse/CXF-1801
",JCA inbound connector does not support WebSphere 6.1,New Feature,CLOSED,Major,Fixed,None,"2.0.9, 2.1.3",Integration,The current JCA inbound connector relies on service endpoint interface classes being available to its context classloader which is not necessary that case. CXF should consider moving away from the proprietary activation method with ejb_servant.properties to a method that leverages the JCA 1.5 spec using with Message Driven Bean.
CXF-1773,"https://issues.apache.org/jira/browse/CXF-1773
",Refactor JMS transport for readability and simplicity (patch included),Improvement,CLOSED,Major,Fixed,2.1.2,"2.0.9, 2.1.3",Transports,"In preparation for the planned improvements for JMS config like discussed on the mailing list the JMS transport should be refactored for readability.
I have worked myself into the JMS code and at the start had some problems understanding what happened because of some structures in the code.
The first thing was JMSTransportBase. Most of the class are methods that do not access any attributes. These methods could be made static and moved to the JMSUtil class. The method isDestinationStyleQueue is the only method that needs an attribute. I think it should have this attribute as a parameter and also be made static and moved to JMSUtils.
The rest of JMSTransportBase are only holders for attributes that are then accessed from JMSConduit and JMSDestination directly (even without getters). So I think the whole class could be dumped and to attributes should be moved to the subclasses. The readability of JMSConduit and JMSDestination is much better afterwards as the class can be understood in itself.
The next thing is JMSTransport which is used to feed JMSProviderHub. I think it should be cut down to the callback method connected and be renamed to JMSOnConnectCallBack. The other two methods can be added to the parameters of JMSProviderHub. The advantage is that it is much clearer what JMSProviderHub.connect needs and that connected is a callback that gets called at the end of connect.
I have already done the refactorings and will attach a patch with them. Checkstyle, PMD and surefire show no problems."
CXF-1783,"https://issues.apache.org/jira/browse/CXF-1783
",Refactor JMS transport second step (patch included),Improvement,CLOSED,Major,Fixed,2.1.2,"2.0.9, 2.1.3",Transports,"I have refactored several parts of the JMS Transport to make it easier to understand and to help preparing for a move to the spring jms classes.
The refactoring should not change the functionality.
SessionFactory and PooledSession:
The sessionfactory had two different caches and a lot of redundant code. I have now only one cache left that starts send only. A consumer is then added when the first client needs it. The lines of code of SessionFactory are reduced from 450 to 300.
Functionality of JMSProviderHub is splitted between SessionFactory and JMSUtils
The connect method now does not need a callback anymore. So the interface JMSOnConnectCallback is deleted.
JMSOutputStream:
Extracted the class from JMSDestination and JMSConduit. They both use the same JMSOutputStream now. A new interface JMSExchangeSender calls back into JMSConduit or JMSDestination.
JMSListenerThread and JMSExecutor:
Extracted JMSListenerThread from JMSDestination. So the complete JMS listen functionality is factored out. This means it will be easier to port to Spring MessageListenerContainer. JMSListener does not use the Session pool anymore as it does not need pooling anyway.
JMSConduit:
Made the program flow easier again and documented where the flow of operation is not easy to understand. 420 lines => 290 lines
JMSDestination:
Same as with JMSConduit. 550 lines => 420 lines
Tests:
All tests work
Cut most of PooledSessionTest as it does not apply anymore. Have not written a new test yet. But I think it is mostly implicitly tested by other tests
AbstractJMSTests replaced setInMessage with setOutMessage. I think this was wrong before. Please review
JMSDestinationTest added a second message send as I had an issue with a closed session after first send because of an error in the SessionFactory. This is to avoid regression"
CXF-1671,"https://issues.apache.org/jira/browse/CXF-1671
",Add a setter to JSONProvider to set the XML Namespace to Jettison prefix map,Improvement,CLOSED,Major,Fixed,"2.1, 2.0.6, 2.1.1, 2.0.7",2.1.2,JAX-RS,"There is currently no way to configure a REST service to pass an XML namespace to jettison prefix mapping using the default JSONProvider.
Move nstojns to a field instead of creating an empty map on each request
Add a property setter to set nstojns
This will allow you to do this in Spring:
<util:map id=""jsonNamespaceMap"" map-class=""java.util.Hashtable"">
<entry key=""http://www.example.com/shakedown"" value=""e""/>
<entry key=""http://cxf.apache.org/bindings/xformat"" value=""cxf""/>
</util:map>
<bean id=""jsonProvider"" class=""org.apache.cxf.jaxrs.provider.JSONProvider"">
<property name=""namespaceMap"" ref=""jsonNamespaceMap""/>
</bean>
<jaxrs:server id=""jsonRestEndpoint"" address=""/system"">
<jaxrs:serviceBeans>
<ref bean=""restImpl""/>
</jaxrs:serviceBeans>
<jaxrs:entityProviders>
<ref bean=""jsonProvider""/>
</jaxrs:entityProviders>
</jaxrs:server>"
CXF-1705,"https://issues.apache.org/jira/browse/CXF-1705
",Servlet 2.3 compliance,Improvement,CLOSED,Major,Fixed,2.1.1,"2.0.8, 2.1.2",Transports,"Currently there is one call to the servlet 2.4 API in ServletController. This can be made 2.3 compatible by specifying the encoding in the setContentType(...) call. Attached is a patch to fix this, and enable cxf to run in any servlet 2.3 container."
CXF-1627,"https://issues.apache.org/jira/browse/CXF-1627
",Upgrade to WSS4J 1.5.4,Improvement,CLOSED,Major,Fixed,"2.1, 2.0.6","2.1.1, 2.0.7",WS-* Components,"Update CXF to use WSS4J 1.5.4 (pending release).
The Apache WSS4J team is in the process of releasing WSS4J 1.5.4.
This is a request to update CXF 2.0.7 and 2.1.1 (or subsequent versions, if this ticket is too late) to use WSS4J 1.5.4.
A patch will be submitted shortly that contains the fixes necessary for this upgrade.
Thanks!"
CXF-1012,"https://issues.apache.org/jira/browse/CXF-1012
",Exception handling,Sub-task,CLOSED,Major,Fixed,2.1,2.1,JAX-RS,"Section 2.4.3
An implementation MUST catch WebApplicationException and map it to a response. If the response
property of the exception is not null then it MUST be used to create the response. If the response
property of the exception is null an implementation MUST generate a server error response.
An implementation MUST allow other runtime exceptions to propagate to the underlying container. This
allows existing container facilities (e.g. a Servlet filter) to be used to handle the error if desired.
Editors Note 2.2 What to do about checked exceptions ? If we allow them on resource methods then do
we need some standard runtime exception that can be used to wrap the checked exception so it can be
propagated to the container in a standard way ?"
CXF-872,"https://issues.apache.org/jira/browse/CXF-872
",WS-Policy: Upgrade to www.w3.org/ns/ws-policy namespace,New Feature,CLOSED,Major,Fixed,None,2.0.3,WS-* Components,"Dan's mail from 23-04-2007 to cxf-dev@incubator.apache.org
It seems the http://www.w3.org/2006/07/ws-policy/ policy namespace is
deprecated and we should use http://www.w3.org/ns/ws-policy/ now instead.
This upgrade can now take place - aside from changing the default value in the PolicyConstants class, it is largely a matter of either updating test data (wsdls, cfg files) or else making these tests use the older version of the namespace (by configuring the PolicyConstants). For samples should be changed to use the new namespace."
CXF-1455,"https://issues.apache.org/jira/browse/CXF-1455
",Create Provider to support application/x-www-form-urlencoded content types,Sub-task,CLOSED,Major,Fixed,2.1,2.1,JAX-RS,"Create an Entity Provider with a consume MIME type of ""application/x-www-form-urlencoded"" that supports MultivaluedMap<String,String>
See section 3.1.2"
CXF-1425,"https://issues.apache.org/jira/browse/CXF-1425
",Enhancement to JAX-RS spring configuration for registering providers,Sub-task,CLOSED,Major,Fixed,2.1,2.1,JAX-RS,"Enhancement to allow a list of custom providers be specified for a spring configured JAX-RS server. Syntax as below:
<jaxrs:server id=""bookservice""
address=""/"">
<jaxrs:serviceBeans>
<ref bean=""bookstore""/>
</jaxrs:serviceBeans>
<jaxrs:entityProviders>
<bean class=""org.apache.cxf.jaxrs.provider.JAXBElementProvider""/>
<bean class=""org.apache.cxf.jaxrs.provider.StringProvider""/>
<bean class=""org.apache.cxf.jaxrs.provider.BadgerFishProvider""/>
</jaxrs:entityProviders>
</jaxrs:server>
<bean id=""bookstore"" scope=""prototype"" class=""org.apache.cxf.systest.jaxrs.BookStore"">
</bean>
This list will overwrite the default Entity Provider list and will be ordered as usual."
CXF-1381,"https://issues.apache.org/jira/browse/CXF-1381
",Support for XFire and JaxB annotations in Aegis,Improvement,CLOSED,Major,Fixed,None,2.1,Aegis Databinding,Aegis should be able to read the legacy XFire annotations and the equivalent JaxB bindings.
